人物名,場所,緯度,経度,年代
泉藤兵衛,豊川町,41.802422,140.617927,1873
泉藤兵衛,豊浦町,41.825368,141.153868,1873
泉藤兵衛,末広町,41.765542,140.715171,1873
泉藤兵衛,恵山,41.804792,141.166074,1873
孤山堂無外,函館公園,41.756351,140.715834,1888
土子毅,元町,41.763130,140.711795,1876
土子毅,船魂神社,41.763426,140.710021,1876
村木甚三郎,亀田町,41.794685,140.733903,1869
村木甚三郎,入舟町,41.770753,140.700186,1869
村木甚三郎,富岡町,41.806512,140.748796,1869
村木甚三郎,弥生町,41.768210,140.705948,1869
村木甚三郎,高龍寺,41.768719,140.700146,1869
若山惣太郎,富岡町,41.806512,140.748796,1886
若山惣太郎,大町,41.769356,140.710941,1886
若山惣太郎,末広町,41.765542,140.715171,1886
若山惣太郎,八幡坂,41.765742,140.713859,1886
