name
2代石塚弥太郎
アダム・キリロヴィチ・ラクスマン
アルハンゲリスキイ，ワシーリイ・ワシーリエヴィチ
アレクサンドル・ドミートリエヴィチ・チハイ
"ウィリアム・レニー
"
"ウォルター・アウグスタス・デ・ハヴィランド
"
"エドワード・シルベスター・モース
"
"オーガスタ・デカルソン
"
"カロリョフ，アナトーリイ・ニコラエヴィチ
"
"カール・ワイデル・レイモン
"
"コウ・マリア・ヴァイドル・レイモン
"
ゴロヴニン
"サファイロフ，ウラジミール・ミハイロヴィチ
"
"ジュール・ブリュネ
"
"ジョン・バクスター・ウイル
"
"ジョン・バチラー
"
"ジョン・ミルン
"
"スール・カロリヌ
"
スール・マリ・オグスト
スール・マリ・オネジム
"チャールズ・ネトルシップ生没不詳
"
"トーマス・ライト・ブラキストン
"
"ニコライ・ペトローヴィチ・マトヴェーエフ
"
"ニコライ大主教
"
"フィリップ・ユーベア・マリ一・グロード
"
"フリサンフ・プラトーノヴィチ・ビリチ
"
"フローラ・リディア・べスト・ハリス
"
"マキシモーヴィチ，カール・ヨハン
"
メルメ・ド・カション
"ヤコフ・ドミートリエヴィチ・チハイ
"
"ヤコボ酒井武雄
"
ヨシフ・アントーノヴィチ・ゴシケーヴィチ
"ライマン・スミス
"
リチャード・ユースデン
三代目岩船峰次郎
"三原栄吉
"
"三吉良太郎
"
"三橋美智也
"
"三谷元次郎
"
"上田仁
"
"中川五郎治
"
"中川嘉兵衛
"
"中村勝馬
"
"中村誠二
"
"中村進五郎
"
"中村鎮
"
"久慈次郎
"
"久生十蘭
"
"亀井勝一郎
"
"井上光晴
"
"井上幸子
"
"井田侾吉
"
"今井市右衛門
"
"今井藤七
"
"今日出海
"
"今東光
"
"伊藤貫一
"
"伊藤鋳之助
"
"伏見勇蔵
"
"佐々木平次郎
"
"佐々木逸郎
"
"佐田作郎
"
"佐藤哲郎
"
"佐藤在寛
"
"佐藤泰志
"
"佐藤祐知
"
"佐野忠吉
"
"元木省吾
"
"光岡龍三郎
"
"児玉作左衛門
"
"八幡関太郎
"
"八木隆一郎
"
"内川源作
"
"冨士月子
"
"函館大経
"
初代勝田弥吉
初代市川団四郎
初代平出喜三郎
初代石塚弥太郎
"前島密
"
"前田政雄
"
"加藤兵次郎
"
加賀栄治
勝田鑛蔵
"北上聖牛
"
"千種基、平井晴二郎、二木彦七、松本荘一郎
Ｈ・Ｓ・パーマー、Ｊ・Ｕ・クロフォード
"
"原忠雄
"
"吉岡憲
"
"吉谷一次
"
"名村五八郎
"
"和田芳恵
"
"唐牛健太郎
"
"四倉ミツエ
"
"国松登
"
"園田実徳
"
"土子毅
"
"土方歳三
"
"坂本作平
"
"坂本森一
"
"堀川トネ
"
"堀川乗経
"
"堀達之助
"
"堤清六
"
"塩田三郎
"
塩田順庵
"外山ハツ
"
"外山定男
"
"外山平治、
"
"大山マキ
"
"大庭恭平
"
"大桃ゑきえ
"
"大野一雄
"
大高ひさを
"大鳥圭介
"
"太刀川善吉
"
"奥平忠志

"
"孤山堂無外
"
"宮崎大四郎
"
"宮本武之助
"
"寺井四郎兵衛
"
"小南武一
"
"小山内龍

"
"小島千松
"
"小川弥四郎

"
"小林重吉
"
"小橋榮太郎
"
"小池毅
"
"小熊幸一郎

"
"小田島安佐

"
"小田豊四郎
"
"小野連司

"
"山中節治
"
"山崎松次郎
"
"山本行雄
"
"岡本一平

"
"岡本康太郎

"
"岡田健蔵
"
"岡田普理衛

"
岩船ヤス
"岩船修三
"
"島剛平
"
"川内康範
"
"川崎ヤエ
"
"川田龍吉
"
"工藤富次郎
"
"巴潟誠一
"
"常野正義
"
"平塚常次郎
"
"平塚時蔵
"
"平澤屏山
"
"平田文右衛門
"
"廣井勇
"
廣瀬量平
"張尊三
"
"恩賀徳之助

"
"斉藤大硯
"
"斉藤與一郎
"
"新島襄
"
"日下部久太郎
"
明石信道
"時任為基
"
"木下順一
"
"木戸新太郎
"
"木村捷司
"
"木村文助
"
"木津幸吉
"
"木田保造
"
"本田延三郎
"
"杉崎郡作
"
"杉浦誠
"
"杉野源次郎
"
"村井末吉
"
"村垣淡路守範正
"
"村尾元長
"
"村木甚三郎
"
"村田専三郎
"
"村田駒吉
"
"松伊兵衛
"
"松川弁之助

"
"松川次郎
"
"松平太郎
"
"松本恵子
"
"松林太郎
"
"林儀作
"
"柳田藤吉
"
"栗本鋤雲
"
"栗谷川健一
"
"梁川剛一
"
"梅津福次郎
"
"植木蒼悦
"
"榎本武揚
"
"横山松三郎
"
"橋本三郎
"
橋本隆造
"武内収太
"
"武田斐三郎
"
"水谷準

"
"永沢富士雄
"
"池田種之助
"
"池谷寅一
"
河野政通
"泉泰三
"
"泉藤兵衛
"
"深井克美
"
"深瀬洋春
"
"深瀬鴻堂
"
"清水谷公考
"
"渋田利右衛門
"
"渡辺紳一郎
"
"渡邊熊四郎
"
"澤邊琢磨
"
"瀬川伸
"
"熊谷孝太郎
"
片上楽天
片平庸人
"猪子利男
"
"生田喜治
"
"田中佐吉
"
"田中良吉
"
"田中誠一郎
"
"田口フク
"
"田本研造
"
"田辺三重松
"
"疋田豊治
"
"登坂良作
"
"白土誠太郎
"
"皆月善六
"
"益田喜頓
"
"目杉浦嘉七
"
"相馬哲平
"
"眞藤愼太郎
"
"石原正
"
"石垣隈太郎
"
"石川啄木
"
"石川節子
"
"石川藤助
"
"石館友作
"
"砂山影二
"
"神山茂
"
"神彰
"
"神永貞助
"
"神田光彩
"
"福士成豊
"
秋山富雄
"竹内下野守保徳
"
"竹内正道
"
笠島芳朗
"箱根寿保
"
"篠崎清次
"
紺野孝造
紺野松次郎
紺野治重
"続豊治
"
"羽野栄一
"
"花光春之助
"
"花田長太郎
"
若山徳次郎
"若山惣太郎
"
"荻野清六

"
"菅原キミ子
"
"菅原繁蔵
"
"葛木香一
"
"藤間扇吉
"
"蛯子善悦
"
"蛯子末次郎
"
"西出孫左衛門
"
"谷徳太郎
"
"谷杉写真館二目館主谷杉晃一
"
"谷杉写真館初館主谷杉正
"
"逸見小右衛門
"
"遠藤吉平
"
"邦かめすけ
"
酒谷小三郎
"野又貞夫
"
"野田高梧
"
野路この
野路吉次郎
野路松太郎
野路雷三郎
"金子鴎亭
"
"長谷川二郎
"
"長谷川四郎
"
"長谷川海太郎
"
"長谷川淑夫
"
"長谷川濬
"
"間世潜
"
関根要太郎
"関輝夫
"
阿部たつを
阿部覺治
阿部鑑
"須川長之助
"
"馬場民則
"
"馬場脩
"
"高井義喜久
"
"高勢実乗
"
"高村善太郎

"
"高松凌雲
"
"高橋掬太郎
"
"高田屋嘉兵衛
"
"鷲尾吾雄
"
"齋藤玄
"
２代目勝田弥吉
２代目平出喜三郎
"Ｍ．Ｃ．ハリス
"
