place,relation
住吉町,0.03562887349063333
青柳町,0.0056849830935213645
豊川町,0.012029795641614804
松風町,0.007227039054208662
新川町,0.0037596439158414778
末広町,0.0037914432674047665
元町,0.008674647675928215
新川町,0.002765412145442489
堀川町,0.0007903984767146129
的場町,0.0007226774030002545
二十間坂,0.0021393834467084132
