noun,relative,dist
遂行,0.0,0.0
初代,0.0,0.0
囚人,0.0,0.0
支給,0.0,0.0
補充,0.0,0.0
貸渡,0.0,0.047619047619047616
技師,0.0,0.0
洋風,0.0,0.125
蓄積,0.0,0.0
旧幕,0.0,0.0
クラス,0.0,0.0
評価,0.0,0.0
配分,0.0,0.0
善太郎,0.0,0.0
千葉,0.0,0.0
急務,0.0,0.27142857142857146
商取引,0.0,0.0
検閲,0.0,0.0
燃料,0.0,0.0
生徒,0.0,0.0
学習,0.0,0.0
使用人,0.0,0.0
皮切り,0.0,0.0
発言,0.0,0.0
任命,0.0,0.0
代弁,0.0,0.0
万次郎,0.0,0.0
質問,0.0,0.0
ランス,0.0,0.0
熱意,0.0,0.0
過当,0.0,0.0
船価,0.0,0.0
調べ,0.0,0.0
鯨漁,0.0,0.0
装置,0.0,0.0
投下,0.0,0.05555555555555555
貸与,0.0,0.0
投入,0.0,0.0
相馬,0.0,0.0
貸付,0.0,0.16666666666666666
進捗,0.0,0.0
沢村,0.0,0.0
自費,0.0,0.41025641025641024
賃銭,0.0,0.0
軍事,0.0,0.0
最新,0.0,0.0
途絶,0.0,0.0
外務省,0.0,0.0
一覧,0.0,0.0
手続き,0.0,0.0
創刊,0.0,0.0
石井,0.0,0.0
窓口,0.0,0.0
柳田,0.0,0.0
違反,0.0,0.0
拝借,0.0,0.0
売渡,0.0,0.0
ねらい,0.0,0.0
醤油,0.0,0.0
レベル,0.0,0.0
本格化,0.0,0.0
具合,0.0,0.0
プロシア,0.0,0.0
欠損,0.0,0.0
建言,0.0,0.0
提供,0.0,0.023255813953488372
稼業,0.0,0.0
前金,0.0,0.0
統合,0.0,0.0
得票,0.0,0.0
就任,0.0,0.0
桜庭,0.0,0.0
決議,0.0,0.6666666666666666
住所,0.0,0.0
参政権,0.0,0.0
気運,0.0,0.0
府県会,0.0,0.0
裁定,0.0,0.0
改選,0.0,0.0
起業,0.0,0.0
選出,0.0,0.0
互選,0.0,0.0
選挙人,0.0,0.0
諮問,0.0,0.14285714285714285
つぎ,0.0,0.0
国会,0.0,0.0
頂点,0.0,0.0
民権,0.0,0.0
出席,0.0,0.0
啓蔵,0.0,0.0
議長,0.0,0.0
議員,0.0,0.25
当選者,0.0,0.0
原案,0.0,0.0
投書,0.0,0.0
施行後,0.0,0.0
照会,0.0,0.0
掲載,0.0,0.2
開会,0.0,0.3333333333333333
北溟,0.0,0.0
社長,0.0,0.0
弁士,0.0,0.0
新聞紙,0.0,0.25
忠礼,0.0,0.0
代表的,0.0,0.0
督促,0.0,0.0
修正,0.0,0.14285714285714285
不動産,0.0,0.0
起工,0.0,0.0
借家,0.0,0.0
埋め立て,0.0,0.0
つながり,0.0,0.0
教育費,0.0,0.0
自治制,0.0,0.0
事業費,0.0,0.0
国費,0.0,0.0
村尾,0.0,0.0
区民,0.0,0.2
授業料,0.0,0.0
半期,0.0,0.0
区会,0.0,0.5
告示,0.0,0.16666666666666666
戸数割,0.0,0.0
町内会,0.0,0.0
地代,0.0,0.0
共有,0.0,0.2277777777777778
元長,0.0,0.0
間接,0.0,0.0
組長,0.0,0.0
自主,0.0,0.0
自治区,0.0,0.0
補助金,0.0,0.0
富岡,0.0,0.047619047619047616
科目,0.0,0.0
議会,0.0,0.3333333333333333
総則,0.0,0.0
区会議員,0.0,0.25
公正,0.0,0.0
枚田,0.0,0.0
協同,0.0,0.0
祝賀会,0.0,0.0
辞職,0.0,0.0
杉野,0.0,0.0
次郎吉,0.0,0.0
安浪,0.0,0.0
選挙法,0.0,0.0
公布,0.0,0.0
平田,0.0,0.0
上田,0.0,0.0
宇三郎,0.0,0.0
政党,0.0,0.0
罰金,0.0,0.0
友人,0.0,0.0
新聞社,0.0,0.0
発刊,0.0,0.0
社主,0.0,0.0
協調,0.0,0.0
自由党,0.0,0.0
論調,0.0,0.0
排撃,0.0,0.0
高まり,0.0,0.0
日日,0.0,0.0
記者,0.0,0.0
聴衆,0.0,0.0
期成,0.0,0.0
愛国,0.0,0.0
憲法,0.0,0.0
本部,0.0,0.3333333333333333
内閣,0.0,0.0
管理局,0.0,0.0
近代的,0.0,0.022727272727272728
節減,0.0,0.0
立憲,0.0,0.0
江湖,0.0,0.0
中心人物,0.0,0.0
紙上,0.0,0.25
支社,0.0,0.0
本社,0.0,0.0
和田,0.0,0.0
懇親会,0.0,0.0
届け,0.0,0.0
懇談会,0.0,0.0
栄太郎,0.0,0.0
小橋,0.0,0.0
党員,0.0,0.0
哲平,0.0,0.0
駒吉,0.0,0.0
大隈,0.0,0.0
陳情,0.0,0.5909090909090909
世間,0.0,0.0
公衆,0.0,0.09090909090909091
安田,0.0,0.0
目前,0.0,0.0
満期,0.0,0.0
社説,0.0,0.0
物件,0.0,0.0
閣議,0.0,0.0
関西,0.0,0.0
コレラ,0.0,0.0
任期,0.0,0.0
年齢,0.0,0.0
賛成,0.0,0.0
答弁,0.0,0.0
官有,0.0,0.2976190476190476
藤五郎,0.0,0.0
成熟,0.0,0.0
欠席,0.0,0.0
定数,0.0,0.0
憲政,0.0,0.0
割当,0.0,0.0
食塩,0.0,0.0
商社,0.0,0.0
五島,0.0,0.0
使命,0.0,0.0
活用,0.0,0.2625
人道,0.0,0.0
発起,0.0,0.3333333333333333
報道,0.0,0.0
引用,0.0,0.0
社員,0.0,0.0
世論,0.0,0.0
提携,0.0,0.0
発起人,0.0,0.3333333333333333
広業,0.0,0.0
半民,0.0,0.0
半官,0.0,0.0
広瀬,0.0,0.0
役員,0.0,0.0
神戸,0.0,0.0
定款,0.0,0.0
変則,0.0,0.0
便所,0.0,0.0
修繕費,0.0,0.0
協和,0.0,0.0
内職,0.0,0.0
綱領,0.0,0.0
地租,0.0,0.0
大区,0.0,0.0
議案,0.0,0.0
役場,0.0,0.0
開催,0.0,0.2
戸長,0.0,0.0
外事,0.0,0.0
管下,0.0,0.0
司法,0.0,0.0
学務,0.0,0.0
改定,0.0,0.0
主典,0.0,0.0
中判,0.0,0.0
郡区,0.0,0.0
出身者,0.0,0.0
大多数,0.0,0.0
中隊,0.0,0.0
条例,0.0,0.16666666666666666
総長,0.0,0.0
区長,0.0,0.03333333333333333
定額,0.0,0.0
総合,0.0,0.0
替え,0.0,0.0
関係書類,0.0,0.047619047619047616
県庁,0.0,0.0
有竹,0.0,0.0
為基,0.0,0.058823529411764705
時任,0.0,0.14215686274509803
鶴岡,0.0,0.75
詰め,0.0,0.0
士族,0.0,0.0
視点,0.0,0.02564102564102564
桐野,0.0,0.0
募集,0.0,0.0
官庁,0.0,0.0
会計課,0.0,0.0
制定,0.0,0.125
正院,0.0,0.0
見送り,0.0,0.0
カノン,0.0,0.0
会議所,0.0,0.0
解除,0.0,0.0
勧告,0.0,0.0
会合,0.0,0.0
監視,0.0,0.0
新道,0.0,0.0
歩調,0.0,0.0
陸海軍,0.0,0.0
応援,0.0,0.0
避難,0.0,0.0
黒田,0.0,0.0
連携,0.0,0.0
野村,0.0,0.0
春日,0.0,0.0
甲鉄,0.0,0.0
招魂,0.0,0.0
違反者,0.0,0.0
兵部,0.0,0.0
義勇,0.0,0.0
分掌,0.0,0.0
邏卒,0.0,0.0
海関,0.0,0.0
道庁,0.0,0.5
退任,0.0,0.0
本庁,0.0,0.0
章程,0.0,0.0
置県,0.0,0.0
廃藩,0.0,0.0
志願者,0.0,0.0
函衛,0.0,0.0
菊池,0.0,0.0
通俊,0.0,0.0
清隆,0.0,0.0
同港,0.0,0.0
前提,0.0,0.0
専務,0.0,0.0
前身,0.0,0.0
この頃,0.0,0.125
懲役,0.0,0.0
電信,0.0,0.0
近所,0.0,0.0
議決,0.0,0.0
投票,0.0,0.0
務所,0.0,0.0
明確化,0.0,0.05
分担,0.0,0.0
宝町,0.0,0.25
親睦,0.0,0.0
見直し,0.0,0.0
郡長,0.0,0.0
井口,0.0,0.0
常野,0.0,0.0
編制,0.0,0.0
編入,0.0,0.0
見出し,0.0,0.0
若松,0.0,0.0
公認,0.0,0.0
正右衛門,0.0,0.0
主眼,0.0,0.0
返済,0.0,0.0
芸娼,0.0,0.0
芸妓,0.0,0.0
貸座敷,0.0,0.0
三業,0.0,0.0
証券,0.0,0.0
地方税,0.0,0.0
国税,0.0,0.0
職種,0.0,0.0
税額,0.0,0.0
地価,0.0,0.0
先祖,0.0,0.0
原価,0.0,0.0
費目,0.0,0.0
他府県,0.0,0.0
百十三,0.0,0.0
正副,0.0,0.0
民費,0.0,0.0
新任,0.0,0.0
退職,0.0,0.0
選挙,0.0,0.0
試験場,0.0,0.0
警視,0.0,0.0
広島,0.0,0.0
名古屋,0.0,0.0
地方裁判所,0.0,0.0
控訴,0.0,0.0
監獄,0.0,0.0
検事,0.0,0.0
法規,0.0,0.0
水上,0.0,0.0
等級,0.0,0.0
派出所,0.0,0.0
分署,0.0,0.0
恵比須,0.0,0.5
警察署,0.0,0.3333333333333333
小区,0.0,0.0
巡査,0.0,0.0
警部,0.0,0.0
警察官,0.0,0.0
地券,0.0,0.0
判決,0.0,0.0
商務,0.0,0.0
幹線,0.0,0.0
開通,0.0,0.0
分局,0.0,0.0
架設,0.0,0.0
貯金,0.0,0.0
郵便局,0.0,0.0
北海道内,0.0,0.0
運行,0.0,0.024390243902439025
不定,0.0,0.0
本文,0.0,0.0
防止,0.0,0.0
意欲,0.0,0.0
逓送,0.0,0.0
郵船,0.0,0.0
手形,0.0,0.0
料金,0.0,0.0
逓信,0.0,0.0
郵便,0.0,0.0
利用者,0.0,0.0
冒頭,0.0,0.0
公共,0.0,0.0
責任,0.0,0.0
署名,0.0,0.0
ミシシッピー,0.0,0.0
ポーハタン,0.0,0.0
要請,0.0,0.0
サケ,0.0,0.0
船長,0.0,0.0
平山,0.0,0.0
帆船,0.0,0.0
見通し,0.0,0.0
葬儀,0.0,0.0
神仏,0.0,0.0
見物,0.0,0.0
小間物,0.0,0.0
山の手,0.0,0.5
アメリカ人,0.0,0.0
同日,0.0,0.0
翌日,0.0,0.2
ウイリアムズ,0.0,0.0
挨拶,0.0,0.3333333333333333
本務,0.0,0.0
任務,0.0,0.0
需用,0.0,0.0
以内,0.0,0.0
遊歩,0.0,0.0
名簿,0.0,0.0
出席者,0.0,0.0
かた,0.0,0.0
